,precision,recall,f1-score,support,Timestamp
Bacterial Spot,1.0,0.9767441860465116,0.9882352941176471,43.0,2025-03-02 20:20:24
Cercospora Leaf Spot,1.0,0.926829268292683,0.9620253164556962,41.0,2025-03-02 20:20:24
Common Rust,0.9795918367346939,1.0,0.9896907216494846,48.0,2025-03-02 20:20:24
Early Blight,1.0,0.9791666666666666,0.9894736842105263,48.0,2025-03-02 20:20:24
Healthy,1.0,1.0,1.0,96.0,2025-03-02 20:20:24
Late Blight,1.0,1.0,1.0,47.0,2025-03-02 20:20:24
Northern Leaf Blight,0.94,0.9791666666666666,0.9591836734693877,48.0,2025-03-02 20:20:24
Septoria Leaf Spot,0.9565217391304348,1.0,0.9777777777777777,44.0,2025-03-02 20:20:24
Yellow Leaf Curl Virus,1.0,1.0,1.0,49.0,2025-03-02 20:20:24
accuracy,0.9870689655172413,0.9870689655172413,0.9870689655172413,0.9870689655172413,2025-03-02 20:20:24
macro avg,0.9862348417627922,0.984656309741392,0.9851540519645022,464.0,2025-03-02 20:20:24
weighted avg,0.9875589756142337,0.9870689655172413,0.9870691501115857,464.0,2025-03-02 20:20:24
