Epoch,Loss,Accuracy,Timestamp
1,0.22684630657547838,0.9326855219586342,2025-03-02 20:20:23
2,0.04948196019293189,0.9845285272243635,2025-03-02 20:20:23
3,0.030417528738597512,0.9907714022040063,2025-03-02 20:20:23
4,0.024970988842900017,0.9921285489387113,2025-03-02 20:20:23
5,0.016967967351784335,0.994788556538733,2025-03-02 20:20:23
6,0.017505222142735494,0.9949514141468976,2025-03-02 20:20:23
7,0.01324348450757245,0.9964171326203789,2025-03-02 20:20:23
8,0.013400351037646708,0.9956571304489441,2025-03-02 20:20:23
9,0.008841808188887986,0.997557135877531,2025-03-02 20:20:23
10,0.011910829293176464,0.9969599913142609,2025-03-02 20:20:23
